% Model,modes.mph
% Version,COMSOL 5.2.0.220
% Date,"Apr 14 2016, 13:27"
% Table,Table 1 - Global Evaluation 1 (rp)
% w_RR1,w_slab,lambda,real(rp) (1)
0.18,0.21000000000000002,-0.0019102884627942207-3992451.9177943156i,-2.6502647289940433
0.18,0.21000000000000002,-5.267008410128831E-4-4002972.5181015884i,-6.762130974126445
0.18,0.21000000000000002,-4096878.520188841i,0.28266628978270386
0.18,0.21000000000000002,-5770899.809566864i,-3.540785543724174
0.18,0.22000000000000003,5.765133236736506E-4-3993183.1972253714i,-2.662675671558222
0.18,0.22000000000000003,-1.0825543703529443E-4-4003834.9557861844i,-7.711938911868044
0.18,0.22000000000000003,-4099200.3630586313i,0.26935485199167347
0.18,0.22000000000000003,-5957020.421419533i,-3.7173764719340614
0.18,0.23,-2.621675073123109E-4-3993901.7202753713i,-2.6619370144485726
0.18,0.23,-1.6670034275499877E-4-4004750.823665034i,-9.558834293547742
0.18,0.23,-4102235.4015644235i,0.2564320969195251
0.18,0.23,-6132542.256984318i,-3.9022969677245065
0.18,0.24000000000000002,0.00277891752512111-3994627.863133384i,-2.675695219095888
0.18,0.24000000000000002,6.200417193913414E-5-4005642.1091404506i,-12.320519870859577
0.18,0.24000000000000002,5.64205939068599E-10-4104759.3533319514i,0.24537298002811478
0.18,0.24000000000000002,-6298584.535179714i,-4.072885203931624
0.18,0.25,0.004560240655390256-3995365.140144617i,-2.7079335698939984
0.18,0.25,-2.6183500572477984E-4-4006607.5068214033i,-18.40952089607422
0.18,0.25,-1.1241464422965604E-9-4107335.684536898i,0.2348073734271871
0.18,0.25,-6451412.472187393i,-4.250384309500203
0.18,0.26,9.245285637675855E-4-3984100.166413554i,-1.5159515415674054
0.18,0.26,-0.007061420076325587-3996095.418011524i,-2.74293469963449
0.18,0.26,6.36621189015475E-5-4007603.8146583154i,-43.43755540399088
0.18,0.26,6.847996327689345E-10-4109942.3577199345i,0.22478729171469966
0.18,0.27,0.0010728410442279754-3984200.134988075i,-1.4776051347307586
0.18,0.27,-1.362743811526438E-4-3996821.3647656143i,-2.789501349761104
0.18,0.27,-2.607647775224987E-4-4008639.8255415084i,79.90519151626836
0.18,0.27,9.186895615073629E-10-4112480.1867981856i,0.21499750692089123
0.19,0.020000000000000018,-1.4431858092915872E-4-3985905.7302185753i,17.736855656763048
0.19,0.020000000000000018,4.721487568169112E-5-3991814.9524753676i,-26.218787080198812
0.19,0.020000000000000018,-1.9860726248251997E-8-4052751.172184825i,-1237.7181677935391
0.19,0.020000000000000018,-1.487709127373001E-9-4075852.655607921i,7.976383446862517E-4
0.19,0.03000000000000002,0.0028210485039545335-3985905.2782043326i,17.717677658660808
0.19,0.03000000000000002,6.32815629552133E-6-3991810.664884318i,-26.265384030250097
0.19,0.03000000000000002,-5.271973927059195E-9-4052709.4510270804i,-1044.257555886139
0.19,0.03000000000000002,-8.848851967952444E-10-4075774.7381192856i,9.469152918778687E-4
0.19,0.04000000000000002,-3.4318046926311557E-4-3985907.026857691i,17.702211443337077
0.19,0.04000000000000002,-1.770176258117567E-4-3991848.789899476i,-33.00415468464305
0.19,0.04000000000000002,5.227176889399059E-9-4052963.9800857063i,-383.84912217396266
0.19,0.04000000000000002,9.85141581423447E-10-4076326.8384082i,0.002572820859914574
0.19,0.05000000000000002,2.4904455911022857E-4-3985957.7090558885i,-198.32157456607115
0.19,0.05000000000000002,-5.207988978571323E-4-3992148.154672787i,-10.651438699598096
0.19,0.05000000000000002,-5.811707533146829E-7-4057846.476910308i,6.114626112153942
0.19,0.05000000000000002,1.4789517611803507E-9-4080313.308395i,-0.1628526003056707
0.19,0.06000000000000002,-5.2301533630620045E-5-3986024.6829183754i,-15.967146477630095
0.19,0.06000000000000002,-7.761869942708831E-4-3992532.220475147i,-7.2198316744333555
0.19,0.06000000000000002,2.9515842185311506E-9-4063386.7061280003i,2.527790527739045
0.19,0.06000000000000002,-4087429.057886072i,-0.3941524025662755
0.19,0.07000000000000002,0.004643698367976768-3986108.133168194i,-8.697957738440032
0.19,0.07000000000000002,0.0011103168576932112-3992951.178737664i,-5.830766830920461
0.19,0.07000000000000002,2.063378384556812E-9-4068403.4227324873i,1.453125100740454
0.19,0.07000000000000002,-4098891.4520545877i,-0.686144398759631
0.19,0.08000000000000002,2.5210591246738423E-4-3986213.715967346i,-6.152230186358437
0.19,0.08000000000000002,1.975637599534109E-5-3993426.761038242i,-5.027350793966766
0.19,0.08000000000000002,-4072550.548248016i,1.0016895444504796
0.19,0.08000000000000002,-5.32245365240608E-10-4117194.7489396525i,-0.9962271171675658
0.19,0.09000000000000002,4.1181520289597313E-4-3986345.1911832546i,-4.877146186267965
0.19,0.09000000000000002,3.0975751966320014E-4-3993950.7841947414i,-4.626601598496779
0.19,0.09000000000000002,1.1115553479204932E-9-4075957.8507325426i,0.778506894998203
0.19,0.09000000000000002,5.095551729924613E-10-4144062.228662992i,-1.2829067903522382
0.19,0.10000000000000002,-0.0010318256906906194-3986512.753192946i,-4.134996193790501
0.19,0.10000000000000002,2.9394131747865506E-4-3994506.726514871i,-4.360235605709876
0.19,0.10000000000000002,7.628241433076723E-10-4078845.6785000926i,0.6487171798605074
0.19,0.10000000000000002,-4181704.7034744374i,-1.5409076735645184
0.19,0.11000000000000001,0.0017721139372913455-3986725.686314419i,-3.6490162289753374
0.19,0.11000000000000001,-0.001345590053013187-3995126.1763043394i,-4.195016382064449
0.19,0.11000000000000001,-4081496.9003024627i,0.5650850671026154
0.19,0.11000000000000001,-4233920.148180114i,-1.7700289599252301
0.19,0.12000000000000002,8.418015542492646E-4-3987000.6206709486i,-3.3288296739393357
0.19,0.12000000000000002,-0.001585557743598692-3995792.4395051613i,-4.119084039237896
0.19,0.12000000000000002,-4083999.646055743i,0.5047349470999234
0.19,0.12000000000000002,-4303963.125460284i,-1.9825958263765722
0.19,0.13,-3.4485746905559515E-4-3987352.234164217i,-3.098899032247508
0.19,0.13,3.1809018452921904E-4-3996528.8276074925i,-4.145926973613631
0.19,0.13,-5.778508535021247E-10-4086450.6373400744i,0.4592967526236278
0.19,0.13,-4396017.264200311i,-2.179275042657078
0.19,0.14,-0.004563956288413177-3987797.7110690954i,-2.928957925640887
0.19,0.14,4.693326919046244E-4-3997344.2447833954i,-4.325713399658
0.19,0.14,-4089170.664055009i,0.4224172574062286
0.19,0.14,-4514326.294156902i,-2.368996796360811
0.19,0.15000000000000002,0.006263190845702007-3988340.4713467755i,-2.826430566491844
0.19,0.15000000000000002,-6.806271867906102E-4-3998243.6703537586i,-4.395105270317359
0.19,0.15000000000000002,-4091631.1755920094i,0.393590863771139
0.19,0.15000000000000002,-4660341.8041894445i,-2.5428653236510166
0.19,0.16000000000000003,-0.0010216479362321522-3988988.9415964107i,-2.760714107900721
0.19,0.16000000000000003,-3.0072750684345553E-4-3999108.4612243525i,-4.5576132619261935
0.19,0.16000000000000003,5.767422351231257E-10-4093938.9728221553i,0.3691476731223271
0.19,0.16000000000000003,-4829934.507853417i,-2.7128240361819103
0.19,0.17,0.0030327809488214013-3989718.3165794117i,-2.7253127053345487
0.19,0.17,0.009582738519733403-3999958.3587819203i,-4.80370497378878
0.19,0.17,1.1443010923669934E-9-4096241.7176577295i,0.34763992609943356
0.19,0.17,-5017706.937568698i,-2.884236494648805
0.19,0.18000000000000002,-4.20093065227142E-4-3990494.8128289427i,-2.716716225160955
0.19,0.18000000000000002,-0.004594105754660001-4000782.7220369554i,-5.014965004621574
0.19,0.18000000000000002,9.4244362974556E-10-4098026.336173331i,0.32970116636393315
0.19,0.18000000000000002,-5217561.362055091i,-3.0476893285791045
0.19,0.19000000000000003,-0.0012174193342821202-3991268.77875206i,-2.7157462373280383
0.19,0.19000000000000003,-2.2239092718487853E-4-4001699.132683488i,-5.377938943238828
0.19,0.19000000000000003,-1.6919518181579215E-9-4100348.2450902043i,0.3130937173075244
0.19,0.19000000000000003,-5425643.647153217i,-3.21441785277218
0.19,0.2,-0.004772370389921717-3992038.1767725004i,-2.7209736772427493
0.19,0.2,-3.84739587130546E-4-4002606.6999984067i,-5.862338471027261
0.19,0.2,7.482091797774927E-10-4102720.577934603i,0.29812088587185037
0.19,0.2,-5631126.351469935i,-3.3814329959456533
0.19,0.21000000000000002,-3.5076718131719193E-4-3992794.8670706535i,-2.733888198733389
0.19,0.21000000000000002,2.0926565082504466E-5-4003510.4222143823i,-6.485869704255114
0.19,0.21000000000000002,9.329097497873682E-10-4104982.9320652285i,0.2845504578085658
0.19,0.21000000000000002,-5829813.383892105i,-3.5483837786051744
0.19,0.22000000000000003,0.0011001898502526262-3993540.298096366i,-2.7472013422819566
0.19,0.22000000000000003,-1.1924972530091585E-4-4004433.206970777i,-7.393679783443474
0.19,0.22000000000000003,-4107424.9246504647i,0.27213600596874205
0.19,0.22000000000000003,-6019079.93926904i,-3.7148499923685647
0.19,0.23,6.08446208214295E-4-3994284.7863753918i,-2.7561378817841375
0.19,0.23,7.976349854676517E-5-4005381.205796084i,-8.892370524924052
0.19,0.23,1.4851728542754609E-9-4110233.265023444i,0.2606155688513541
0.19,0.23,-2.201075146499644E-9-6199104.847284374i,-3.878868272415217
0.19,0.24000000000000002,0.014806359979669937-3995008.1730533806i,-2.7802598024424263
0.19,0.24000000000000002,-3.0127072298067665E-4-4006443.032526782i,-11.698008805802509
0.19,0.24000000000000002,1.1116425467453008E-9-4113105.5179768796i,0.2496076327433741
0.19,0.24000000000000002,-1.2233104854970751E-9-6362402.556503825i,-4.050044281588993
0.19,0.25,-0.0037783724928192194-3995726.2574427444i,-2.8045152052151012
0.19,0.25,1.0821502533513031E-4-4007431.5834747185i,-17.386590444668396
0.19,0.25,-4115723.0889524943i,0.239394036224807
0.19,0.25,-1.0722281818070096E-9-6513713.076320535i,-4.224828470376888
0.19,0.26,-0.002663742492761134-3984135.9910056265i,-1.4526886931221312
0.19,0.26,0.0012807527281466426-3996465.2838979578i,-2.8515870212071905
0.19,0.26,-4.4085444440208224E-5-4008594.3537051636i,-40.33175659901997
0.19,0.26,-4118419.549376576i,0.2299606554379209
0.19,0.27,0.0016097030027994747-3984233.549699746i,-1.4097272860327217
0.19,0.27,-1.6700330574177306E-4-3997183.849468273i,-2.8964344849635433
0.19,0.27,-2.061452059924668E-4-4009789.149335333i,73.03503973021064
0.19,0.27,7.683060207493151E-10-4121141.7779250843i,0.22091905484532295
0.19999999999999998,0.020000000000000018,-2.092175355120347E-4-3986003.8888355736i,19.445657626940296
0.19999999999999998,0.020000000000000018,9.277554388517321E-4-3992446.4410175662i,-30.083006478006904
0.19999999999999998,0.020000000000000018,-1.4259199304510625E-9-4063459.4170751977i,-538.7183952364298
0.19999999999999998,0.020000000000000018,-4084024.3873858433i,0.0018419561092070191
0.19999999999999998,0.03000000000000002,-2.6191879168982723E-4-3986003.714606743i,19.58808320237471
0.19999999999999998,0.03000000000000002,-2.7402752071824964E-4-3992442.7146694493i,-30.32628004144978
0.19999999999999998,0.03000000000000002,-1.2270172663332554E-9-4063431.2697772505i,-1328.983788703106
0.19999999999999998,0.03000000000000002,-4083976.1259739283i,7.401712707244376E-4
0.19999999999999998,0.04000000000000002,-0.0014307472195141018-3986003.3357276204i,19.43403631502848
0.19999999999999998,0.04000000000000002,0.0011693000548048092-3992438.5299043115i,-29.536426000830325
0.19999999999999998,0.04000000000000002,-5.135224444742479E-10-4063385.8094472997i,-552.6017165082357
0.19999999999999998,0.04000000000000002,-4083908.450665337i,0.0017970203574324119
0.19999999999999998,0.05000000000000002,-9.927286784181227E-4-3986005.3895695996i,19.50790233870477
0.19999999999999998,0.05000000000000002,-0.00264651263831893-3992483.857551752i,-36.70718828418642
0.19999999999999998,0.05000000000000002,1.5591035278514086E-9-4063740.389164678i,-311.35784896542464
0.19999999999999998,0.05000000000000002,-4084546.2990140524i,0.003180581309046462
0.19999999999999998,0.06000000000000002,0.00877643673983646-3986070.4589975206i,-103.57301609959767
0.19999999999999998,0.06000000000000002,9.578577468830864E-4-3992806.362928585i,-11.0633471487616
0.19999999999999998,0.06000000000000002,-1.1579083021520374E-9-4070632.303257598i,3.785639109259742
0.19999999999999998,0.06000000000000002,4.907840843081735E-10-4089683.342196733i,-0.263388385945621
0.19999999999999998,0.07000000000000002,0.00346536283903604-3986156.7689772625i,-14.990083728908369
0.19999999999999998,0.07000000000000002,-6.785356424294461E-4-3993227.0676063285i,-7.394487908424411
0.19999999999999998,0.07000000000000002,-1.0467621913699017E-9-4077028.041394234i,1.52218801142203
0.19999999999999998,0.07000000000000002,-4100740.957661266i,-0.6556785258565485
0.19999999999999998,0.08000000000000002,-2.3855398025682544E-4-3986265.9414205505i,-8.41979617512058
0.19999999999999998,0.08000000000000002,1.7870379571582862E-4-3993701.700637548i,-5.905614019190668
0.19999999999999998,0.08000000000000002,-4081594.675358793i,0.9423598512160445
0.19999999999999998,0.08000000000000002,1.2069391053643756E-9-4119735.981367966i,-1.0602617198322004
0.19999999999999998,0.09000000000000002,0.0011418150149870145-3986405.132795112i,-6.014127457095935
0.19999999999999998,0.09000000000000002,0.0010323843595045627-3994225.935576123i,-5.133182236922958
0.19999999999999998,0.09000000000000002,9.972666439642597E-10-4084991.600768934i,0.7151497912815512
0.19999999999999998,0.09000000000000002,-4148325.9239945533i,-1.398670286377122
0.19999999999999998,0.10000000000000002,3.68745961015557E-4-3986581.4480362297i,-4.793255732481099
0.19999999999999998,0.10000000000000002,-2.1605727595990325E-4-3994804.017738036i,-4.642375971934542
0.19999999999999998,0.10000000000000002,-5.487988540331501E-10-4087777.8303945065i,0.5982618784447999
0.19999999999999998,0.10000000000000002,-4188813.4942852673i,-1.6735294514952108
0.19999999999999998,0.11000000000000001,5.5119695351834445E-6-3986809.8118028324i,-4.088010152425546
0.19999999999999998,0.11000000000000001,-2.5420773198959627E-4-3995404.844191911i,-4.37157535677347
0.19999999999999998,0.11000000000000001,-4090276.6152039003i,0.5249967927021516
0.19999999999999998,0.11000000000000001,7.115671509822905E-10-4243516.301578948i,-1.9088206277545998
0.19999999999999998,0.12000000000000002,-0.0013349427183538304-3987104.009754934i,-3.624204030113077
0.19999999999999998,0.12000000000000002,3.964401962981359E-4-3996098.84882087i,-4.259094786019876
0.19999999999999998,0.12000000000000002,-4092873.2189709446i,0.4741680203535832
0.19999999999999998,0.12000000000000002,-4317787.058786182i,-2.114759931470782
0.19999999999999998,0.13,-7.071753996573096E-4-3987485.8691021716i,-3.3126778849428478
0.19999999999999998,0.13,-1.1828776611174167E-4-3996859.297048052i,-4.242393897889598
0.19999999999999998,0.13,-4095485.557777741i,0.43561005522988044
0.19999999999999998,0.13,-5.009040833920863E-10-4415332.061402995i,-2.3032493797895977
0.19999999999999998,0.14,0.0023351006075494566-3987972.6425892645i,-3.1169878860391926
0.19999999999999998,0.14,7.417381929789689E-4-3997653.295851225i,-4.203619642851089
0.19999999999999998,0.14,-5.232815550100623E-10-4097834.32165911i,0.40526749181817845
0.19999999999999998,0.14,-4538520.992433559i,-2.4782566949274596
0.19999999999999998,0.15000000000000002,0.003984165664681261-3988558.5852348623i,-2.971478801717799
0.19999999999999998,0.15000000000000002,-0.001404808153092973-3998602.7554447628i,-4.344009072356504
0.19999999999999998,0.15000000000000002,7.647501157044013E-10-4100843.2493887795i,0.3801409596217619
0.19999999999999998,0.15000000000000002,-4692497.286595915i,-2.6427898600536586
0.19999999999999998,0.16000000000000003,0.02166366944189516-3989251.794148259i,-2.8903150392557375
0.19999999999999998,0.16000000000000003,-4.022026706825827E-4-3999440.0240526753i,-4.501829826875681
0.19999999999999998,0.16000000000000003,-4103133.477906381i,0.3585589877353293
0.19999999999999998,0.16000000000000003,-4866861.426064041i,-2.8060508617592776
0.19999999999999998,0.17,-0.005184735783871643-3990009.1610593903i,-2.8515190976277354
0.19999999999999998,0.17,0.0018980351405513574-4000410.859229267i,-4.689361833585226
0.19999999999999998,0.17,-4105637.51385253i,0.33965501609205456
0.19999999999999998,0.17,-5065295.998107489i,-2.967803087198316
0.19999999999999998,0.18000000000000002,-0.0021566346414104765-3990802.321450773i,-2.8319425747197142
0.19999999999999998,0.18000000000000002,1.351159161621232E-4-4001338.316765959i,-4.954421433515715
0.19999999999999998,0.18000000000000002,-4108054.8278021393i,0.3233028363455512
0.19999999999999998,0.18000000000000002,-5273466.183450271i,-3.124769337841347
0.19999999999999998,0.19000000000000003,0.0034569583788709763-3991625.878544538i,-2.837485530521537
0.19999999999999998,0.19000000000000003,2.8146020516182365E-4-4002171.8959508063i,-5.189138634482321
0.19999999999999998,0.19000000000000003,-9.317009600554707E-10-4109692.6276887706i,0.30933283711937826
0.19999999999999998,0.19000000000000003,-5482695.010107902i,-3.277504780060411
0.19999999999999998,0.2,0.014810874531663416-3992411.518440446i,-2.8377434587240917
0.19999999999999998,0.2,-6.814452592085185E-4-4003121.755260097i,-5.657009257041609
0.19999999999999998,0.2,5.561736569203271E-10-4112157.0109115723i,0.29587145479534355
0.19999999999999998,0.2,-5692259.617651013i,-3.434568733591635
0.19999999999999998,0.21000000000000002,0.005557546508513085-3993188.3305027513i,-2.8554403096122623
0.19999999999999998,0.21000000000000002,-3.512872837903753E-4-4004100.0416781083i,-6.215876796244571
0.19999999999999998,0.21000000000000002,-4114721.543277193i,0.2837603820171084
0.19999999999999998,0.21000000000000002,-5894031.559572105i,-3.591389297643878
0.19999999999999998,0.22000000000000003,0.001187767263037353-3993944.8158516907i,-2.875609033760143
0.19999999999999998,0.22000000000000003,-3.3944917125328854E-4-4005086.198156308i,-7.010279255640032
0.19999999999999998,0.22000000000000003,1.1011878174926127E-9-4117058.277491704i,0.2725452662725788
0.19999999999999998,0.22000000000000003,-6084330.958672715i,-3.7482873338546403
0.19999999999999998,0.23,8.206749804539004E-4-3994697.8953637104i,-2.8884059177929418
0.19999999999999998,0.23,-1.41175765060206E-4-4006142.365992522i,-8.43627187416616
0.19999999999999998,0.23,-4120027.4840216395i,0.2617498375043833
0.19999999999999998,0.23,-1.2751153569736078E-9-6265370.913472471i,-3.909382468456397
0.19999999999999998,0.24000000000000002,3.8160052782648023E-4-3995426.524335595i,-2.9206125129818132
0.19999999999999998,0.24000000000000002,-2.0385654816537933E-4-4007208.250290863i,-10.49162209341747
0.19999999999999998,0.24000000000000002,-4122409.0205074386i,0.25207425749193996
0.19999999999999998,0.24000000000000002,-6429985.399159742i,-4.06595795757189
0.19999999999999998,0.25,-5.842600691026148E-4-3984063.8069673264i,-1.4423898026305604
0.19999999999999998,0.25,-3.459298384119438E-5-3996149.247190211i,-2.9560902041595383
0.19999999999999998,0.25,-1.735721383028887E-6-4008474.7343100603i,-15.68846188876073
0.19999999999999998,0.25,-4125382.078300212i,0.24258874596597238
0.19999999999999998,0.26,0.0024663500858303085-3984170.0664356905i,-1.3978482378969561
0.19999999999999998,0.26,-9.409586305439524E-4-3996866.2619808977i,-2.9981913757867944
0.19999999999999998,0.26,-7.868451381001775E-5-4009745.185267508i,-33.506845858121416
0.19999999999999998,0.26,-1.348399837440503E-9-4128077.9630846824i,0.2337770366798442
0.19999999999999998,0.27,-0.0052802540051413455-3984264.6389010064i,-1.3532318461181632
0.19999999999999998,0.27,0.0018797216457465515-3997574.4339066884i,-3.0467612875851957
0.19999999999999998,0.27,-1.8022345537760457E-5-4011147.5447091945i,94.0641592355359
0.19999999999999998,0.27,7.249973510664714E-10-4130883.390852354i,0.22532322520756998
0.21,0.020000000000000018,8.420533431483194E-4-3986130.384584012i,21.8683774838151
0.21,0.020000000000000018,-4.124269784463907E-4-3993140.002688883i,-33.30355809755856
0.21,0.020000000000000018,-1.7214973414651143E-9-4079567.8301699907i,1241.0443684679155
0.21,0.020000000000000018,-9.250495882999912E-10-4093370.1923033455i,-8.116951397640495E-4
0.21,0.03000000000000002,0.0011619307105239667-3986130.3666329i,21.690132894433457
0.21,0.03000000000000002,0.0020712982020341993-3993132.9700058727i,-32.05868891332595
0.21,0.03000000000000002,1.812786863206798E-9-4079517.139031281i,-850.8993748153256
0.21,0.03000000000000002,-1.4798520302934282E-9-4093297.7320056907i,0.0011695064015504865
0.21,0.04000000000000002,8.169570666277109E-4-3986130.422243885i,21.84919702351706
0.21,0.04000000000000002,-0.0035455515601158206-3993130.303406597i,-34.00320646108148
0.21,0.04000000000000002,-6.185972168710145E-10-4079502.886945045i,-2690.856305115649
0.21,0.04000000000000002,-1.08828223015343E-9-4093274.86062849i,3.617752509628646E-4
0.21,0.05000000000000002,-4.524745461148473E-4-3986129.84860034i,21.50739732717317
0.21,0.05000000000000002,-1.7173388707280915E-4-3993128.01147103i,-37.07926925990596
0.21,0.05000000000000002,-7.118637177448594E-10-4079446.7925211038i,-146.97573645271018
0.21,0.05000000000000002,-1.388235152230074E-9-4093229.9866188993i,0.006779473084566024
0.21,0.06000000000000002,2.8201454934716804E-4-3986133.0001669526i,21.617278144589303
0.21,0.06000000000000002,-1.8094304870289226E-4-3993174.070961091i,-26.809018307837487
0.21,0.06000000000000002,-1.0047647882914406E-9-4079949.8460011343i,316.9226822600265
0.21,0.06000000000000002,9.658858430826366E-10-4093892.125697618i,-0.0031384574761558286
0.21,0.07000000000000002,-7.707420994593276E-4-3986217.8871133043i,-69.83228497842785
0.21,0.07000000000000002,-5.481636890297074E-4-3993525.3560977518i,-11.537136243251371
0.21,0.07000000000000002,-1.5413555030127456E-9-4088455.9695676356i,1.5772031398161932
